segment,name,instrument_key
BSE_EQ,KAKATIYA TEXTILES LTD.,BSE_EQ|INE092E01011
BSE_EQ,RAJKAMAL SYNTHETICS LTD.,BSE_EQ|INE376L01013
BSE_EQ,NILKAMAL LTD.,BSE_EQ|INE310A01015
BSE_EQ,IRFC-7.75%-15-4-33-PVT,BSE_EQ|INE053F08270
NSE_EQ,GTPL HATHWAY LIMITED,NSE_EQ|INE869I01013
BSE_EQ,HDFCB-8.35%-13-5-26-PVT,BSE_EQ|INE040A08500
BSE_EQ,PFSPL-13.50%-30-10-27-PVT,BSE_EQ|INE514Q07296
BSE_EQ,ZEE MEDIA CORPORATION LIMITED,BSE_EQ|INE966H01019
BSE_EQ,IRFC-7.51%-15-4-26-PVT,BSE_EQ|INE053F08288
BSE_EQ,COSMO FERRITES LTD.,BSE_EQ|INE124B01018
BSE_EQ,KJMC FINANCIAL SERVICES LTD.,BSE_EQ|INE533C01018
BSE_EQ,IRFC-7.74%-15-4-38-PVT,BSE_EQ|INE053F08296
BSE_EQ,LERTHAI FINANCE LIMITED,BSE_EQ|INE347D01011
NSE_EQ,SUPRAJIT ENGINEERING LTD,NSE_EQ|INE399C01030
NSE_EQ,PRITIKA ENG COMPO LTD,NSE_EQ|INE0MJQ01020
BSE_EQ,IRFC-7.65%-30-12-32-PVT,BSE_EQ|INE053F08221
BSE_EQ,HARIA APPARELS LTD,BSE_EQ|INE493N01012
BSE_EQ,Signpost India Limited,BSE_EQ|INE0KGZ01021
BSE_EQ,REAL ECO-ENERGY LIMITED,BSE_EQ|INE055E01034
BSE_EQ,IRFC-7.4%-18-4-26-PVT,BSE_EQ|INE053F08239
BSE_EQ,HDFCB-8.45%-18-05-26-PVT,BSE_EQ|INE040A08542
NSE_EQ,ENVIRO INFRA ENGINEERS L,NSE_EQ|INE0LLY01014
NSE_EQ,KCK INDUSTRIES LTD,NSE_EQ|INE0J1E01027
BSE_EQ,AHMEDABAD STEELCRAFT LTD.,BSE_EQ|INE868C01018
NSE_EQ,SDL BR 6.45% 2027,NSE_EQ|IN1320210025
BSE_EQ,IRFC-7.65%-18-4-33-PVT,BSE_EQ|INE053F08247
NSE_EQ,BATA INDIA LTD,NSE_EQ|INE176A01028
BSE_EQ,GS22FEB31C,BSE_EQ|IN000231C026
BSE_EQ,JAYABHARAT CREDIT LTD.,BSE_EQ|INE998D01011
NSE_EQ,SDL BR 6.39% 2027,NSE_EQ|IN1320210017
NSE_EQ,MARUTI SUZUKI INDIA LTD.,NSE_EQ|INE585B01010
BSE_EQ,VISHNU PRAKASH R PUNGLIA LIMIT,BSE_EQ|INE0AE001013
BSE_EQ,Global Health Limited,BSE_EQ|INE474Q01031
BSE_EQ,IREDA-7.32%-4-11-29-PVT,BSE_EQ|INE202E08243
BSE_EQ,Sai Swami Metals and Alloys Li,BSE_EQ|INE0QXT01018
BSE_EQ,ABFRL-7.86%-31-12-26-PVT,BSE_EQ|INE647O08131
